file_path,label,source,url,width,height,sha256
dataset/images/real/coco_real\03708f543f492182ad122010746e2a99845d42c35abd0dc04801bd554fb5ff48.jpg,real,coco,http://images.cocodataset.org/val2017/000000179765.jpg,1365,1024,03708f543f492182ad122010746e2a99845d42c35abd0dc04801bd554fb5ff48
dataset/images/real/coco_real\3e571a8640aa7d8da1cbd762321cc51def8fde501bbe9de911fc1f4f87e04bbc.jpg,real,coco,http://images.cocodataset.org/val2017/000000517069.jpg,1365,1024,3e571a8640aa7d8da1cbd762321cc51def8fde501bbe9de911fc1f4f87e04bbc
dataset/images/real/coco_real\688c4a3bf75a7dd19a9401d7f105f9675d50b2b1bc01a1355320878500e4d1fd.jpg,real,coco,http://images.cocodataset.org/val2017/000000182417.jpg,1365,1024,688c4a3bf75a7dd19a9401d7f105f9675d50b2b1bc01a1355320878500e4d1fd
dataset/images/real/coco_real\ef1b61b35ac3aa2af9d9cdb01f52ac79703a5ad0f0fbe036d6aecb94c07c212f.jpg,real,coco,http://images.cocodataset.org/val2017/000000172330.jpg,1365,1024,ef1b61b35ac3aa2af9d9cdb01f52ac79703a5ad0f0fbe036d6aecb94c07c212f
dataset/images/real/coco_real\29b13646cfdb4a3b4388c9289e19a38b42679a5aed2bac7def1587033786e94d.jpg,real,coco,http://images.cocodataset.org/val2017/000000472678.jpg,1365,1024,29b13646cfdb4a3b4388c9289e19a38b42679a5aed2bac7def1587033786e94d
dataset/images/real/coco_real\2200eacd5b05197d1245a275d9d7893709e6dc81a397c6dd65fda15222c2e777.jpg,real,coco,http://images.cocodataset.org/val2017/000000314251.jpg,1365,1024,2200eacd5b05197d1245a275d9d7893709e6dc81a397c6dd65fda15222c2e777
dataset/images/real/coco_real\cacf3729edd11a3f6f3d0c6f6b9f94479583892c877ae7d0ad03cd1b6c7c4231.jpg,real,coco,http://images.cocodataset.org/val2017/000000109976.jpg,1365,1024,cacf3729edd11a3f6f3d0c6f6b9f94479583892c877ae7d0ad03cd1b6c7c4231
dataset/images/real/coco_real\0bf182b59b89f534d6f89a2b57c976c47b7f9a95e5e47a7f236b285b9211af14.jpg,real,coco,http://images.cocodataset.org/val2017/000000012667.jpg,1365,1024,0bf182b59b89f534d6f89a2b57c976c47b7f9a95e5e47a7f236b285b9211af14
dataset/images/real/coco_real\3b6305ff6766386835878c9c31670cde88e0fa6c6fe8dce02ae3a2a575a901de.jpg,real,coco,http://images.cocodataset.org/val2017/000000534605.jpg,1536,1024,3b6305ff6766386835878c9c31670cde88e0fa6c6fe8dce02ae3a2a575a901de
dataset/images/real/coco_real\1400efb8808a3d5b1621558375f13bbd0de4b38d3ee471ce5a5e26b1e46c7278.jpg,real,coco,http://images.cocodataset.org/val2017/000000289393.jpg,1365,1024,1400efb8808a3d5b1621558375f13bbd0de4b38d3ee471ce5a5e26b1e46c7278
dataset/images/real/coco_real\ac929454c7cc2758f24d5af3e5820a4d700a97905b5afa4436c7d2cf5d163726.jpg,real,coco,http://images.cocodataset.org/val2017/000000561256.jpg,1365,1024,ac929454c7cc2758f24d5af3e5820a4d700a97905b5afa4436c7d2cf5d163726
dataset/images/real/coco_real\82d49c90fc98084d9cc421917be18f572e9cc6066882ccb8b2d3defab326201a.jpg,real,coco,http://images.cocodataset.org/val2017/000000338325.jpg,1531,1023,82d49c90fc98084d9cc421917be18f572e9cc6066882ccb8b2d3defab326201a
dataset/images/real/coco_real\5c21434db0876bc3b6b50e91cf4c04242394dcf655ab7de467b966bdcb0941f7.jpg,real,coco,http://images.cocodataset.org/val2017/000000226662.jpg,1446,1024,5c21434db0876bc3b6b50e91cf4c04242394dcf655ab7de467b966bdcb0941f7
dataset/images/real/coco_real\4e24ed1528891621658ff01d23e8a74735cd18720d41f7fd2264044497ad2a0e.jpg,real,coco,http://images.cocodataset.org/val2017/000000011511.jpg,1412,1024,4e24ed1528891621658ff01d23e8a74735cd18720d41f7fd2264044497ad2a0e
dataset/images/real/coco_real\adf36fb773d771873de8b852f975540d1faa239930292cc20704850fab72cc3d.jpg,real,coco,http://images.cocodataset.org/val2017/000000221754.jpg,1534,1024,adf36fb773d771873de8b852f975540d1faa239930292cc20704850fab72cc3d
dataset/images/real/coco_real\c0b097a4efe69c75afd2e8e9552c0c112b17dfded7c8dfa314876790fc1ee8e8.jpg,real,coco,http://images.cocodataset.org/val2017/000000255965.jpg,1534,1024,c0b097a4efe69c75afd2e8e9552c0c112b17dfded7c8dfa314876790fc1ee8e8
dataset/images/real/coco_real\18304101680b0be5936c4714fa3a0d87d2f674573ffa903793a3efa8341d6430.jpg,real,coco,http://images.cocodataset.org/val2017/000000445846.jpg,1534,1024,18304101680b0be5936c4714fa3a0d87d2f674573ffa903793a3efa8341d6430
dataset/images/real/coco_real\3b01c2d37f4e03a559a45270a5b06b290823bf71bc713c615a01300e899375a7.jpg,real,coco,http://images.cocodataset.org/val2017/000000192871.jpg,1534,1024,3b01c2d37f4e03a559a45270a5b06b290823bf71bc713c615a01300e899375a7
dataset/images/real/coco_real\74a8403ed7515330bca8c58cd1ad16d703507b8d3161fc7dc0d12272152d99fc.jpg,real,coco,http://images.cocodataset.org/val2017/000000365642.jpg,1024,1538,74a8403ed7515330bca8c58cd1ad16d703507b8d3161fc7dc0d12272152d99fc
dataset/images/real/coco_real\83f53c85f83977281211de6cd34a7eef01944b02704b17a25cf213e839586256.jpg,real,coco,http://images.cocodataset.org/val2017/000000393569.jpg,1365,1024,83f53c85f83977281211de6cd34a7eef01944b02704b17a25cf213e839586256
dataset/images/real/coco_real\420baef9b67e572036be48387c31d7223e618a74b79de5ecc2ac154ad1aa3b0a.jpg,real,coco,http://images.cocodataset.org/val2017/000000116479.jpg,1024,1594,420baef9b67e572036be48387c31d7223e618a74b79de5ecc2ac154ad1aa3b0a
