original_path,edited_path,mask_path,edit_type,source,prompt,caption,url,sha256,height,width
dataset/images/tamper_localization/originals/coco/0bf182b59b89f534d6f89a2b57c976c47b7f9a95e5e47a7f236b285b9211af14.jpg,dataset/images/tamper_localization/edited/coco/0bf182b59b89f534d6f89a2b57c976c47b7f9a95e5e47a7f236b285b9211af14.jpg,dataset/images/tamper_localization/masks/coco/0bf182b59b89f534d6f89a2b57c976c47b7f9a95e5e47a7f236b285b9211af14.jpg,inpainting,coco,,,,7ce889621b6582684da474bac2ff69c830b37382a95f39c23692937337c8c2cd,1024,1365
dataset/images/tamper_localization/originals/coco/0c6655788cf20761d9c650c631d254cea96be405cc5f8ab06a6f1446844ad5d5.jpg,dataset/images/tamper_localization/edited/coco/0c6655788cf20761d9c650c631d254cea96be405cc5f8ab06a6f1446844ad5d5.jpg,dataset/images/tamper_localization/masks/coco/0c6655788cf20761d9c650c631d254cea96be405cc5f8ab06a6f1446844ad5d5.jpg,inpainting,coco,,,,b1f5ba849d9bd885ccbba056424e64f872964d9666d490ccf5ae8109f3d91905,1024,1626
dataset/images/tamper_localization/originals/coco/18e55efaab31079be1c9caaafda3d9c28eae90beba4a8d4f96fb182f04703982.jpg,dataset/images/tamper_localization/edited/coco/18e55efaab31079be1c9caaafda3d9c28eae90beba4a8d4f96fb182f04703982.jpg,dataset/images/tamper_localization/masks/coco/18e55efaab31079be1c9caaafda3d9c28eae90beba4a8d4f96fb182f04703982.jpg,inpainting,coco,,,,dddbef5eb6cec976d4d4e98f93e5fe2e9c5eec42fbff3ddb15ae34a19ccf30ed,1023,1531
dataset/images/tamper_localization/originals/coco/2f4459f968105af1a662b78f8d2efc09afe023204556da38be748ac49acf0526.jpg,dataset/images/tamper_localization/edited/coco/2f4459f968105af1a662b78f8d2efc09afe023204556da38be748ac49acf0526.jpg,dataset/images/tamper_localization/masks/coco/2f4459f968105af1a662b78f8d2efc09afe023204556da38be748ac49acf0526.jpg,inpainting,coco,,,,b1c77e939ef5d149881645de969c8081b0968a06684b3c8c7200f2b524e3d5b6,1024,1538
dataset/images/tamper_localization/originals/coco/30ab2224ea490cdf0d603b6d901e87d964d6fb253657a91949832af2ddc8b585.jpg,dataset/images/tamper_localization/edited/coco/30ab2224ea490cdf0d603b6d901e87d964d6fb253657a91949832af2ddc8b585.jpg,dataset/images/tamper_localization/masks/coco/30ab2224ea490cdf0d603b6d901e87d964d6fb253657a91949832af2ddc8b585.jpg,inpainting,coco,,,,9655265734404a6fccd3d01a46f563149ccac9f08b2057b6dc540511366c5344,1024,1534
dataset/images/tamper_localization/originals/coco/3ec23de63592c1eef86740fd46fed2cb66170fca02b695d37e6ae379dcee4355.jpg,dataset/images/tamper_localization/edited/coco/3ec23de63592c1eef86740fd46fed2cb66170fca02b695d37e6ae379dcee4355.jpg,dataset/images/tamper_localization/masks/coco/3ec23de63592c1eef86740fd46fed2cb66170fca02b695d37e6ae379dcee4355.jpg,inpainting,coco,,,,2663d7ac472c91398294a1d1fe741d4986ec75135656f99471234137321692ec,1023,1531
dataset/images/tamper_localization/originals/coco/77578f52ee4644ec8ff4d8ffd712116b2ce0a498ae7ed5bd5430dec7b784cdc5.jpg,dataset/images/tamper_localization/edited/coco/77578f52ee4644ec8ff4d8ffd712116b2ce0a498ae7ed5bd5430dec7b784cdc5.jpg,dataset/images/tamper_localization/masks/coco/77578f52ee4644ec8ff4d8ffd712116b2ce0a498ae7ed5bd5430dec7b784cdc5.jpg,inpainting,coco,,,,b22070753823c919105d8ddc5ec4137455213609a7b1ffe0af4e3417c6cdf4cc,1365,1024
dataset/images/tamper_localization/originals/coco/a53dd6f623305a2a60828d28fbd90ccdf2998539a71e4301267641963e56213c.jpg,dataset/images/tamper_localization/edited/coco/a53dd6f623305a2a60828d28fbd90ccdf2998539a71e4301267641963e56213c.jpg,dataset/images/tamper_localization/masks/coco/a53dd6f623305a2a60828d28fbd90ccdf2998539a71e4301267641963e56213c.jpg,inpainting,coco,,,,2e367ec52f62a7055ed9148ba30b868a79281e1cff5593eec028155ed6733c72,1023,1542
dataset/images/tamper_localization/originals/coco/a64293cb5d4bfa0b1e6e1c0603f7a4f9892afd90f353c9ed0b250449818d5d36.jpg,dataset/images/tamper_localization/edited/coco/a64293cb5d4bfa0b1e6e1c0603f7a4f9892afd90f353c9ed0b250449818d5d36.jpg,dataset/images/tamper_localization/masks/coco/a64293cb5d4bfa0b1e6e1c0603f7a4f9892afd90f353c9ed0b250449818d5d36.jpg,inpainting,coco,,,,17b9183a0d910b9c48fcee14a99d4d46c2a4fa9ce2f846d5adfea9694f42da88,1024,1534
dataset/images/tamper_localization/originals/coco/a93b3e69c542397170396ea0a1805ff740924aedee8deb336b82fa9277b82b48.jpg,dataset/images/tamper_localization/edited/coco/a93b3e69c542397170396ea0a1805ff740924aedee8deb336b82fa9277b82b48.jpg,dataset/images/tamper_localization/masks/coco/a93b3e69c542397170396ea0a1805ff740924aedee8deb336b82fa9277b82b48.jpg,inpainting,coco,,,,7df028f89f7789b1aefc5988655d47d5e8254477924a9cf3750f9f804aa48550,1024,1365
